iter	MultiClass
0	1.310922722
1	1.119759437
2	0.9808739427
3	0.874932568
4	0.7892394319
5	0.7160588054
6	0.6586070656
7	0.6069280606
8	0.5654054784
9	0.529879482
10	0.4995394676
11	0.4707142861
12	0.4441524161
13	0.4235286278
14	0.4019329685
15	0.3845412845
16	0.3689169922
17	0.3552755966
18	0.3422086164
19	0.3331402648
20	0.3235031416
21	0.3151114661
22	0.3061137708
23	0.2986669602
24	0.2908050859
25	0.2838039392
26	0.2763410753
27	0.2686198325
28	0.2608506515
29	0.2551368787
30	0.2506167345
31	0.2472511196
32	0.2439112985
33	0.2405844627
34	0.2363371997
35	0.2297038233
36	0.2254978907
37	0.2214754687
38	0.2186597925
39	0.21557413
40	0.2134962352
41	0.2095396622
42	0.2077638338
43	0.2054249761
44	0.2035027505
45	0.2014875438
46	0.199148121
47	0.196985357
48	0.1935036408
49	0.1916642352
50	0.1902421253
51	0.1887851584
52	0.1870491225
53	0.1855899544
54	0.1838908557
55	0.1826245476
56	0.1802598193
57	0.177886499
58	0.1757398581
59	0.1742647624
60	0.1726396034
61	0.1708644158
62	0.1698378275
63	0.1688087249
64	0.1674123715
65	0.1665575157
66	0.1653957114
67	0.1642224445
68	0.1634202047
69	0.1624893183
70	0.1611814637
71	0.1598617776
72	0.1583502929
73	0.1573615369
74	0.1566648408
75	0.1556234313
76	0.1545967487
77	0.1535083546
78	0.152672449
79	0.1520347336
80	0.1508958756
81	0.1502451297
82	0.1493288409
83	0.1489263465
84	0.1474839463
85	0.1468438749
86	0.1462578176
87	0.1450838083
88	0.1442641294
89	0.1436260449
90	0.1431201747
91	0.1424859781
92	0.1418648926
93	0.141093267
94	0.1405204869
95	0.1402010134
96	0.1392753697
97	0.1381485689
98	0.1372218917
99	0.1367340814
100	0.136247408
101	0.1358445144
102	0.1352764024
103	0.1347951595
104	0.1343536115
105	0.133518207
106	0.1331407375
107	0.1328715241
108	0.1326112565
109	0.1322668024
110	0.1313880458
111	0.1309549445
112	0.1303948937
113	0.1298269274
114	0.1296063915
115	0.1293490628
116	0.1286594567
117	0.1281881603
118	0.127788958
119	0.1273777693
120	0.1266967407
121	0.1263242221
122	0.1259115977
123	0.1252326009
124	0.1245470252
125	0.1237419796
126	0.1232473182
127	0.1229622612
128	0.1227428488
129	0.1224373939
130	0.1218934065
131	0.1215697812
132	0.121339814
133	0.1211448244
134	0.1208418278
135	0.1203995716
136	0.1197466527
137	0.1189676753
138	0.1185480018
139	0.1183331303
140	0.118166697
141	0.1176478589
142	0.1172955872
143	0.1169097063
144	0.1165608833
145	0.1163086985
146	0.1160672996
147	0.1158582637
148	0.1155844389
149	0.1151920122
150	0.1146474149
151	0.1142134633
152	0.11400892
153	0.1138291334
154	0.1133270455
155	0.1131061451
156	0.1125930129
157	0.1121342368
158	0.1120135112
159	0.1116667237
160	0.1113658698
161	0.1110033321
162	0.1107830619
163	0.1104717377
164	0.110139447
165	0.1100321403
166	0.1095323764
167	0.1093540405
168	0.1091327143
169	0.1085622293
170	0.1083756369
171	0.1081914002
172	0.1081166415
173	0.1079475789
174	0.1075492231
175	0.1074024944
176	0.1072805965
177	0.1071321871
178	0.1068652586
179	0.1067043281
180	0.1064703142
181	0.1062077508
182	0.1061094606
183	0.1056618052
184	0.1054522756
185	0.1050326338
186	0.1047564237
187	0.104459912
188	0.1042971276
189	0.1042141569
190	0.1040949376
191	0.1039805587
192	0.1037673801
193	0.1033537838
194	0.1031910106
195	0.103030909
196	0.1025902346
197	0.1024796678
198	0.1022533002
199	0.1021298017
200	0.1020109948
201	0.1018511379
202	0.1015083593
203	0.1013787963
204	0.1011732229
205	0.1010310122
206	0.1008157712
207	0.1006757131
208	0.1005009119
209	0.1004033765
210	0.1000832211
211	0.09988909456
212	0.099445975
213	0.09924322006
214	0.09910087461
215	0.09898805965
216	0.09882672265
217	0.09868840162
218	0.09849784345
219	0.09824377566
220	0.09808487248
221	0.0979788692
222	0.09785842289
223	0.09748962337
224	0.09715882243
225	0.09707516023
226	0.09691396508
227	0.09680864947
228	0.09665419296
229	0.09648258835
230	0.09601326869
231	0.09577380353
232	0.09571703918
233	0.09533640102
234	0.0951733018
235	0.09510040378
236	0.09496922018
237	0.0948040046
238	0.09474087677
239	0.09463238175
240	0.0944386769
241	0.09436834064
242	0.09419134102
243	0.09413231991
244	0.09394947527
245	0.0937834572
246	0.09359952158
247	0.09351955697
248	0.09341499157
249	0.0933284897
250	0.09320069234
251	0.09309342502
252	0.09297184576
253	0.09266760058
254	0.09247940461
255	0.09236273272
256	0.09212681606
257	0.09195867425
258	0.09175458068
259	0.09152350299
260	0.0914369075
261	0.09130178228
262	0.09113422094
263	0.09106647275
264	0.0909228945
265	0.09086049912
266	0.09069552039
267	0.09055971686
268	0.09023309528
269	0.09009763606
270	0.08995613043
271	0.08978377966
272	0.08970777106
273	0.08945883632
274	0.08922307725
275	0.08912034217
276	0.08895926164
277	0.08871667905
278	0.08853025467
279	0.08839674375
280	0.0882130246
281	0.08806642538
282	0.08794259854
283	0.08778459878
284	0.08766030537
285	0.08758845289
286	0.08736491899
287	0.08722268113
288	0.08712240294
289	0.08700828519
290	0.08694691979
291	0.08681487376
292	0.08670379427
293	0.08660633229
294	0.08645559178
295	0.08634499207
296	0.08627786877
297	0.08610252983
298	0.08601853331
299	0.08591094917
300	0.08579734466
301	0.08574402638
302	0.08554871694
303	0.08548855971
304	0.0852697897
305	0.08512778301
306	0.08506195069
307	0.0849470969
308	0.08482160914
309	0.08475337875
310	0.08464519646
311	0.08457391868
312	0.08450257544
313	0.08442057532
314	0.08437897143
315	0.08425516796
316	0.08410441809
317	0.08395587791
318	0.08386899379
319	0.08381124498
320	0.08364234578
321	0.08351103076
322	0.08338488944
323	0.08318111661
324	0.08305643472
325	0.08299893908
326	0.08290561419
327	0.08284036644
328	0.08274494992
329	0.08253406258
330	0.08244771172
331	0.08230639185
332	0.08221824437
333	0.08216465775
334	0.08202055184
335	0.08187127159
336	0.08172586983
337	0.08154635283
338	0.08144090465
339	0.08131166339
340	0.08119615
341	0.08112591856
342	0.08101479617
343	0.08093398535
344	0.08081644457
345	0.08073341644
346	0.08062060767
347	0.08055149901
348	0.08046073647
349	0.08040383238
350	0.08034075788
351	0.08026189217
352	0.08002672035
353	0.07995725539
354	0.07985630662
355	0.07971584015
356	0.07967381289
357	0.07960338021
358	0.0794379864
359	0.07937007607
360	0.07924000915
361	0.07918189485
362	0.0790222474
363	0.07885840132
364	0.07876482659
365	0.0786352534
366	0.07855123238
367	0.07848883613
368	0.07839513846
369	0.07835042425
370	0.07828265878
371	0.07815691391
372	0.07809030436
373	0.07789241747
374	0.07778271094
375	0.07770401104
376	0.07767928935
377	0.07759807607
378	0.07747860632
379	0.077397347
380	0.0773001294
381	0.07722987491
382	0.0771458378
383	0.07707588504
384	0.07694742778
385	0.0768378615
386	0.07676828247
387	0.0766730676
388	0.07652059941
389	0.07642746024
390	0.07638414308
391	0.07620448098
392	0.07610487873
393	0.07604238788
394	0.07596706546
395	0.07591941312
396	0.07581719518
397	0.07577124368
398	0.0756911737
399	0.07557928115
400	0.07547871467
401	0.07536789978
402	0.07531402561
403	0.0752325812
404	0.0751345016
405	0.0750957303
406	0.07497106968
407	0.07491033305
408	0.07479773756
409	0.07474405016
410	0.07463713873
411	0.07451255581
412	0.07443903547
413	0.07436858733
414	0.07430893386
415	0.07412291456
416	0.07407606477
417	0.07392907401
418	0.07388039076
419	0.07378716595
420	0.07372784985
421	0.07362090828
422	0.07353216737
423	0.07340919865
424	0.07324908729
425	0.07306936773
426	0.07298834492
427	0.07295769295
428	0.0729259792
429	0.07286486303
430	0.07275668703
431	0.07265332387
432	0.07257180349
433	0.07252641818
434	0.07248741248
435	0.07235152192
436	0.07228606852
437	0.07221837252
438	0.07218651137
439	0.07211170738
440	0.07204499924
441	0.0718782482
442	0.07182012037
443	0.07176896402
444	0.07167582779
445	0.07151252574
446	0.07144187818
447	0.0712219877
448	0.07115846535
449	0.07110553062
450	0.07102149126
451	0.07096687331
452	0.07085865485
453	0.07080591667
454	0.07073529836
455	0.07066793769
456	0.07059398591
457	0.07056804745
458	0.07042712859
459	0.07033731122
460	0.07022740233
461	0.07007500404
462	0.0700080256
463	0.06986879736
464	0.0697727073
465	0.06961355628
466	0.06959124758
467	0.06947705749
468	0.06942362747
469	0.06934859751
470	0.06928042207
471	0.0691768189
472	0.06910362574
473	0.06899680946
474	0.06879884443
475	0.06872376502
476	0.06863918374
477	0.068601104
478	0.06854796387
479	0.06849659421
480	0.06840370316
481	0.06830816417
482	0.06823779212
483	0.06820554584
484	0.06813209062
485	0.06806360373
486	0.06798863209
487	0.0678981483
488	0.06782336875
489	0.06777206841
490	0.06771965017
491	0.06767249085
492	0.06760255999
493	0.06752750923
494	0.06743185126
495	0.06736631228
496	0.06733496377
497	0.06727045739
498	0.06721307999
499	0.06715941248
500	0.06712105624
501	0.06709088104
502	0.06701291214
