iter	Passed	Remaining
0	126	126253
1	190	94865
2	253	84264
3	315	78457
4	372	74185
5	449	74484
6	507	71996
7	572	70949
8	629	69298
9	689	68293
10	748	67291
11	820	67580
12	883	67099
13	944	66518
14	1015	66660
15	1074	66085
16	1141	65999
17	1203	65640
18	1265	65355
19	1327	65071
20	1394	65006
21	1452	64575
22	1523	64731
23	1585	64475
24	1652	64455
25	1717	64329
26	1785	64348
27	1862	64666
28	1946	65178
29	2018	65252
30	2083	65140
31	2147	64958
32	2214	64898
33	2282	64836
34	2348	64752
35	2426	64978
36	2500	65085
37	2572	65135
38	2639	65037
39	2706	64952
40	2774	64885
41	2849	65004
42	2908	64723
43	2971	64568
44	3034	64400
45	3099	64282
46	3169	64269
47	3244	64347
48	3322	64487
49	3392	64452
50	3465	64480
51	3530	64369
52	3593	64206
53	3651	63965
54	3721	63939
55	3785	63812
56	3859	63851
57	3937	63948
58	4034	64345
59	4123	64598
60	4191	64526
61	4262	64481
62	4324	64315
63	4392	64237
64	4464	64223
65	4535	64182
66	4616	64280
67	4683	64189
68	4737	63926
69	4805	63841
70	4878	63827
71	4981	64209
72	5074	64433
73	5146	64399
74	5212	64285
75	5283	64233
76	5368	64353
77	5442	64334
78	5521	64373
79	5601	64420
80	5678	64429
81	5748	64356
82	5824	64347
83	5912	64473
84	5996	64555
85	6058	64394
86	6135	64383
87	6222	64490
88	6321	64711
89	6403	64744
90	6519	65127
91	6605	65192
92	6681	65163
93	6749	65052
94	6826	65031
95	6916	65134
96	6989	65062
97	7070	65073
98	7152	65095
99	7222	65002
100	7284	64838
101	7346	64679
102	7411	64541
103	7474	64391
104	7542	64288
105	7621	64278
106	7675	64056
107	7734	63879
108	7790	63682
109	7851	63523
110	7918	63416
111	7977	63253
112	8043	63140
113	8112	63050
114	8165	62841
115	8224	62676
116	8296	62616
117	8361	62501
118	8427	62389
119	8496	62304
120	8574	62288
121	8638	62167
122	8692	61981
123	8776	62004
124	8858	62009
125	8932	61957
126	8999	61860
127	9064	61751
128	9119	61576
129	9175	61406
130	9246	61336
131	9308	61212
132	9367	61064
133	9431	60953
134	9491	60815
135	9557	60718
136	9630	60667
137	9715	60688
138	9791	60647
139	9851	60517
140	9907	60357
141	9973	60265
142	10039	60163
143	10095	60013
144	10154	59876
145	10217	59762
146	10283	59670
147	10349	59579
148	10425	59545
149	10490	59447
150	10554	59344
151	10627	59289
152	10681	59131
153	10743	59017
154	10817	58975
155	10877	58851
156	10954	58818
157	11029	58779
158	11082	58621
159	11148	58528
160	11214	58440
161	11273	58315
162	11328	58171
163	11405	58142
164	11473	58061
165	11530	57929
166	11596	57843
167	11652	57709
168	11711	57585
169	11778	57504
170	11835	57379
171	11894	57260
172	11948	57119
173	12013	57028
174	12082	56961
175	12141	56842
176	12191	56688
177	12249	56568
178	12312	56470
179	12366	56337
180	12426	56230
181	12490	56136
182	12543	55998
183	12605	55903
184	12661	55780
185	12733	55724
186	12790	55609
187	12858	55536
188	12919	55439
189	12971	55297
190	13029	55187
191	13087	55074
192	13145	54966
193	13222	54934
194	13281	54827
195	13345	54743
196	13414	54679
197	13473	54575
198	13534	54479
199	13590	54363
200	13642	54230
201	13705	54143
202	13769	54061
203	13829	53961
204	13896	53893
205	13956	53794
206	14019	53709
207	14076	53600
208	14133	53492
209	14186	53369
210	14257	53312
211	14323	53240
212	14412	53250
213	14478	53177
214	14538	53083
215	14600	52995
216	14660	52898
217	14717	52792
218	14779	52707
219	14849	52648
220	14911	52560
221	14968	52456
222	15026	52356
223	15097	52301
224	15167	52245
225	15226	52146
226	15279	52030
227	15334	51921
228	15397	51841
229	15475	51807
230	15548	51760
231	15607	51667
232	15661	51554
233	15738	51520
234	15816	51487
235	15875	51392
236	15933	51296
237	15992	51203
